latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
12.88232,101.12133,315.1,2.68,1.57,2026-03-04,0251,T,40,6.1NRT,299.1,21.56,D
31.30077,100.75597,300.74,1.17,1.07,2026-03-04,0247,T,25,6.1NRT,285.03,5.24,D
28.74483,96.19936,301.44,1.03,1.01,2026-03-04,0247,T,17,6.1NRT,290.84,6.29,D
26.49263,95.11284,307.11,1.07,1.03,2026-03-04,0249,T,63,6.1NRT,296.64,8.57,D
25.18237,101.31202,300.47,1.58,1.24,2026-03-04,0249,T,30,6.1NRT,288.94,6.09,D
26.16982,94.7606,310.32,1.09,1.04,2026-03-04,0249,T,70,6.1NRT,293.49,10.35,D
26.16214,94.75391,308.46,1.09,1.04,2026-03-04,0249,T,67,6.1NRT,292.4,9.01,D
26.16318,94.23209,308.82,1.14,1.07,2026-03-04,0249,T,68,6.1NRT,290.13,10.15,D
26.16173,94.24378,309.6,1.14,1.07,2026-03-04,0249,T,69,6.1NRT,290.66,10.41,D
25.14334,98.91584,301.09,1.15,1.07,2026-03-04,0249,T,34,6.1NRT,290.44,3.18,D
25.23784,91.95425,306.56,1.5,1.21,2026-03-04,0249,T,62,6.1NRT,293.92,8.85,D
25.21387,91.92894,309.55,1.51,1.21,2026-03-04,0249,T,67,6.1NRT,294.81,11.45,D
25.2033,91.92701,309.8,1.51,1.21,2026-03-04,0249,T,68,6.1NRT,294.73,11.91,D
24.1687,99.39375,303.74,1.25,1.11,2026-03-04,0249,T,57,6.1NRT,290.15,5.35,D
24.09191,96.71598,305.77,1.01,1,2026-03-04,0249,T,57,6.1NRT,292.51,4.36,D
23.58275,99.45312,307.74,1.28,1.12,2026-03-04,0249,T,66,6.1NRT,291.41,8.75,D
24.41883,92.79678,303.28,1.3,1.13,2026-03-04,0249,T,54,6.1NRT,292.77,5.27,D
23.69658,97.98516,300.43,1.09,1.04,2026-03-04,0249,T,37,6.1NRT,289.43,4.43,D
24.3345,92.8185,306.22,1.29,1.13,2026-03-04,0249,T,63,6.1NRT,293.22,8.05,D
24.26843,92.68883,310.01,1.31,1.14,2026-03-04,0249,T,69,6.1NRT,292.74,11.99,D
23.28078,99.47435,311.91,1.3,1.13,2026-03-04,0249,T,72,6.1NRT,290.19,15.3,D
24.19865,92.67356,310.16,1.31,1.14,2026-03-04,0249,T,69,6.1NRT,293.4,11.66,D
24.17387,92.54003,306.79,1.34,1.15,2026-03-04,0249,T,63,6.1NRT,292.07,8.92,D
23.29474,98.48513,321.07,1.15,1.07,2026-03-04,0249,T,81,6.1NRT,293.65,21.42,D
23.29303,98.49604,303.74,1.15,1.07,2026-03-04,0249,T,52,6.1NRT,292.49,4.81,D
23.8965,92.47285,311.13,1.34,1.15,2026-03-04,0249,T,70,6.1NRT,293.05,12.93,D
23.86797,92.37098,315.5,1.36,1.15,2026-03-04,0249,T,75,6.1NRT,293.51,18.35,D
23.86647,92.38351,312.74,1.35,1.15,2026-03-04,0249,T,72,6.1NRT,293.93,14.99,D
22.64817,100.28049,305.13,1.5,1.21,2026-03-04,0249,T,61,6.1NRT,290.46,9.5,D
23.16669,96.78055,308.41,1.02,1.01,2026-03-04,0249,T,65,6.1NRT,295.57,6.16,D
22.70912,99.18727,305.67,1.28,1.12,2026-03-04,0249,T,62,6.1NRT,289.44,9.87,D
22.69349,99.22137,303,1.28,1.12,2026-03-04,0249,T,54,6.1NRT,291.25,7.32,D
23.13093,95.87788,310.24,1,1,2026-03-04,0249,T,66,6.1NRT,297.47,4.38,D
23.00235,96.0055,311.64,1,1,2026-03-04,0249,T,68,6.1NRT,296.86,6.15,D
22.9734,96.02008,308.84,1,1,2026-03-04,0249,T,63,6.1NRT,296.32,4.38,D
22.32517,98.75721,307.44,1.22,1.1,2026-03-04,0249,T,65,6.1NRT,289.03,10.72,D
22.32339,98.76832,301.31,1.23,1.1,2026-03-04,0249,T,46,6.1NRT,288.78,5.78,D
22.76789,95.70697,311.85,1,1,2026-03-04,0249,T,67,6.1NRT,298.68,4.8,D
22.47232,97.33628,316.44,1.06,1.03,2026-03-04,0249,T,76,6.1NRT,294.68,13.83,D
22.45749,96.51255,316.69,1.01,1.01,2026-03-04,0249,T,74,6.1NRT,296.38,10.91,D
22.42447,96.41383,308.02,1.01,1,2026-03-04,0249,T,56,6.1NRT,296.36,4.61,D
22.35291,96.65517,314.45,1.02,1.01,2026-03-04,0249,T,71,6.1NRT,296.08,8.45,D
22.52423,95.21416,312.94,1.01,1,2026-03-04,0249,T,67,6.1NRT,298.84,5.29,D
22.37231,96.13808,307.15,1,1,2026-03-04,0249,T,46,6.1NRT,296.08,4.31,D
22.00629,98.31046,310.54,1.17,1.08,2026-03-04,0249,T,70,6.1NRT,292.71,10.3,D
22.13729,96.92126,309.96,1.04,1.02,2026-03-04,0249,T,64,6.1NRT,295.36,5.15,D
22.363,94.76923,310.08,1.03,1.01,2026-03-04,0249,T,61,6.1NRT,297.01,4.64,D
22.06426,96.34874,305.68,1.01,1,2026-03-04,0249,T,38,6.1NRT,295.24,3.96,D
21.98161,96.72527,305.36,1.03,1.01,2026-03-04,0249,T,45,6.1NRT,294.64,3.94,D
21.41804,100.06852,306.02,1.53,1.22,2026-03-04,0249,T,63,6.1NRT,290.28,11.56,D
21.41553,100.08321,302.07,1.53,1.22,2026-03-04,0249,T,50,6.1NRT,290.21,7.53,D
21.91699,95.06532,319.03,1.01,1,2026-03-04,0249,T,74,6.1NRT,300.5,9.88,D
21.79494,95.21371,313.82,1.01,1,2026-03-04,0249,T,51,6.1NRT,300.54,5.67,D
21.78552,95.07095,314.07,1.01,1,2026-03-04,0249,T,66,6.1NRT,300.1,5.96,D
21.63231,95.95769,312.29,1,1,2026-03-04,0249,T,63,6.1NRT,299.95,4.79,D
21.28385,98.25504,310.54,1.19,1.08,2026-03-04,0249,T,64,6.1NRT,297.14,8.04,D
21.28209,98.26615,313.44,1.19,1.09,2026-03-04,0249,T,73,6.1NRT,297.33,10.83,D
21.44582,97.15131,307.17,1.06,1.03,2026-03-04,0249,T,58,6.1NRT,293.25,6.46,D
21.53981,96.4048,307.2,1.02,1.01,2026-03-04,0249,T,49,6.1NRT,295.4,4.7,D
21.72959,94.48064,308.45,1.03,1.02,2026-03-04,0249,T,55,6.1NRT,296.69,4.33,D
20.77826,100.34254,304.85,1.64,1.26,2026-03-04,0249,T,57,6.1NRT,290.2,10.85,D
20.76736,100.34022,307.01,1.64,1.26,2026-03-04,0249,T,65,6.1NRT,290.31,13.86,D
